	A010	A013	A020	A023	A028	A038	A039	A052	A058	A063	A067	A069	A079	A083	A089	A094	A103	A110	A114	A124	D010	D016	D026	D043	D046	D048	D058	D063	D068	D072	D081	E009	E017	E020	E026	E030	N041	Y006	Y012	Y014	Y015	Y021	Y025	Y030	Y034	Y036	B005	B010	B012	B023	B026	B030	B035	B039	B042	B047	B050	B053	B056	B058	B063	B071	B078	B084	B092	B098	B100	C005	C010	C012	C021	C027	C033	C045	C051	C056	C061	C065	C068	G009	G027	X007	X011	X014	X018	X024	X027	X031	X034	X039	X044	X047	X049	X051	X052	X055	X057	X059	X065	X069
FDSW202612055-1r_S20201216-0196_A010_bin.137.filtered	10.1671566	10.64188563	11.1796237	1.317684972	14.79029207	21.59774181	24.61169544	20.22006763	14.15339028	8.283075762	14.39065234	1.212315366	6.088315164	5.077003954	5.757025587	8.847792204	5.636303748	2.817866671	1.809072303	1.681002655	8.549120565	5.029032696	7.51289822	17.91394321	4.466881694	20.38554313	5.319665244	10.91628025	15.22806057	5.8596249	23.45940875	23.00014408	25.28224827	22.03133469	7.123937685	6.63103054	10.02132374	1.121539299	1.268994122	4.090845872	2.723829932	1.9834917	1.837510716	3.723592784	3.01138416	3.497504719	3.984934191	3.23293653	0	1.38653926	5.563738563	21.38986092	10.19303307	8.742461948	7.236581716	0	35.52223632	10.96093428	24.32410441	23.97054596	37.79572534	9.487724999	16.62042668	11.3188582	9.580133548	20.45238541	21.0480429	12.91390795	0	27.88129647	4.76182084	11.2089182	9.660567865	21.15192798	6.078180883	7.090012927	5.766220752	12.85884416	8.12446842	6.427474059	2.568391326	7.837379331	5.862584366	8.091684668	7.503860949	12.1849603	31.92517369	10.32072989	6.118735841	7.625616966	13.81224205	23.4133406	7.113999914	12.66880766	0	20.76447845	13.77998051	0	15.4952455	30.49711358
FDSW202612115-1r_S20201215-0042_X039_bin.47.filtered	0	0	0	0	0	5.577278216	6.327725528	9.830825172	0	0	0	0	0.768481307	16.95768264	87.16215789	106.0368515	0.252065872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.0009941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.556541072	0.164915069	0	0	0	0	3.515102717	24.84011248	44.89188644	9.319844686	30.26559534	0.173740054	0.051067188	0.011274368	0.893207079	0	0.969037352	0	0	0	0
FDSW202612074-1r_S20201210-0015_D026_bin.66.filtered	663.6224074	515.5124494	106.6524986	12.58813039	27.47893512	119.2040144	116.6847267	136.8188939	323.6092463	253.4516467	178.0154933	164.4553098	25.60842401	131.7137963	72.59781874	104.5855937	1114.516134	3240.113141	2514.262269	998.9829675	165.216593	143.7211277	95.60055294	49.51020593	905.6494829	311.581558	174.4207339	2252.985298	3656.112876	1321.636856	185.8239893	234.5234687	233.3889022	394.5150011	129.8687335	311.2915579	203.762618	4811.297238	1067.162769	40.03088761	45.98028696	100.4118697	349.3796622	315.1837916	60.6120259	9.210806854	97.74958456	72.79237674	0.192042025	71.7640926	10.04775804	2.351039225	297.1505904	23.52969908	46.9140611	0.158886774	0.886325904	8.474759979	13.87594192	40.35084896	6.251937073	298.648776	618.6851754	40.63675457	60.72348023	133.5199569	16.35793632	8.39419855	1.325240665	9.497634097	22.459842	11.88631808	11.66544828	26.00209044	1.175713367	18.17589175	43.25198706	136.7085852	12.88522731	26.58609666	31.92201214	7.192127128	19.88586979	2.161718219	6.434244509	27.11907435	7.739971704	34.60499489	36.29160002	11.52175596	4.150785244	54.8669112	35.09180742	21.00391114	56.81041652	34.43369537	58.16333499	1.304091733	237.3894702	51.33831864
FDSW202612076-1r_S20201215-0022_D048_bin.192.filtered	1.662899611	0.506467653	0.4014004	0.033208844	2.236497179	0.912856731	2.158710523	2.213583718	2.19904905	1.734735274	1.495018613	1.311144752	1.391044238	1.916978481	3.31107719	4.112232709	0.537976433	1.34416931	2.362557769	0.55103643	1.186713013	1.837662947	0.838078655	0.110235818	1.412649248	1.16566879	0.714960756	0.393502274	1.138300988	1.407191668	0.530191298	0.619807991	0.198718625	0.653085071	0.372574768	0.229205809	0.395118751	0.132285487	0.436165295	0.398645966	0.911415718	3.755061104	1.767189259	0.653442255	0.502960321	0.169556612	0.451476975	0.325226478	1.305420941	0.397893536	0.380522168	8.322936637	3.644998071	3.934596183	2.280063426	15.21382785	15.57867488	22.21180485	13.99945109	4.535324774	9.934033677	18.79608806	7.833854205	6.341579495	12.7758695	13.68635377	15.91479951	17.67021719	19.83755	33.40484813	3.99427577	7.440419872	11.42521416	8.388141954	0.532457516	1.623121206	0.55003744	0.719049116	1.362756286	2.204932744	3.806240011	0.738706118	1.083950796	1.855973031	1.656132866	0.549706564	2.582908483	0.258789371	1.581466665	16.62060324	1.14319382	0.594132917	1.095493723	0.531714021	0.663207951	2.633016206	0.886210246	3.744293369	3.846064308	2.597898253
FDSW202612072-1r_S20201215-0020_D010_bin.87.filtered	46.57080858	50.53699966	30.96387719	13.59537108	17.3000646	39.15764424	46.48047042	29.55993232	25.71839493	52.57269662	36.10168797	5.754186855	30.67042975	54.42574999	42.479582	58.15252286	21.67165095	10.87737113	9.704708072	5.994164426	127.2174704	17.70918306	85.73493324	31.36963553	58.23346499	39.54630586	31.83349499	58.76974433	69.39456774	47.63636043	146.0849844	30.91075644	28.10176767	31.2782881	25.69203219	22.17956669	11.74612575	8.465752384	12.2716029	27.19115641	20.85974434	27.51862563	37.08734528	41.98561851	90.76625304	17.76407339	5.582600322	4.008731334	5.407002091	1.12073824	7.722203848	35.10059939	16.48918503	15.67538458	10.44232259	7.236396887	56.26304499	22.96707614	51.23561894	40.381244	60.98517343	13.55955745	34.43133171	21.24148427	14.10704627	33.92836564	32.33656419	19.73002073	3.61325805	44.86112284	7.984293171	19.41957981	17.58529787	32.16948045	13.65538788	8.343155342	3.425580366	1.496724505	9.922602098	10.62780066	6.809808208	8.789487958	8.068551428	12.17657999	9.259640945	19.39653825	57.52092845	25.22823923	12.05178325	25.90495314	26.82577458	35.78249636	11.88490511	7.056191451	0.980777993	36.75451049	28.77213442	4.223366825	42.4288081	66.29698053
FDSW202612107-1r_S20201215-0037_E030_bin.63.filtered	21.60392528	19.68194536	24.31978964	1.87504889	28.18268228	9.338025796	21.24449686	20.23190006	0.072579028	0.087475874	14.15826588	0	19.98144374	32.14845376	26.59444999	48.73050797	9.380610194	1.882201424	2.012691064	1.622076843	6.590882584	2.692113637	6.798505282	24.75461296	17.75799197	15.16774818	26.21793598	10.43727814	10.79326347	2.193657752	19.01948519	29.82503073	25.97023595	26.45046556	7.707795599	6.642695484	4.988945372	1.127280682	1.432881402	2.601668575	4.849340476	7.418693862	8.652292242	11.44284281	3.385387619	0.967375968	10.82977184	0	0	0	0.162420045	12.80457512	38.97521244	54.56116793	59.64225203	0	39.06639347	92.95550589	61.10905175	48.75939963	74.34993294	3.428736171	6.79011006	4.269759259	16.63034428	15.31676001	11.79851385	28.68814857	0	8.970708914	15.26173465	32.99708065	45.30332132	6.878161698	4.830867742	76.99477885	17.58637291	3.087137974	4.408810528	5.844073429	4.501985261	2.523781165	12.86093757	9.766499691	3.013186727	9.397695116	18.72652361	17.43846592	5.342801692	3.264227907	33.27327129	50.09006914	63.16113837	8.674105663	0	69.1039186	7.279946319	0	59.64969298	37.73656754
FDSW202612082-1r_S20201215-0023_Y021_bin.132.filtered	108.4789254	67.20062231	14.47967472	0.134128021	36.00293683	4.830912017	3.561720876	71.13972095	128.9672623	43.31103128	9.097057624	65.47124219	29.26161196	125.9893627	102.2155435	95.14111242	4.434320477	22.57878746	19.98798747	27.95447932	125.6313211	99.8240885	11.13394817	6.972402566	47.96859828	29.82470166	24.90128173	13.13430014	6.289289177	559.6500376	21.3541316	241.1879468	8.053253271	134.3149414	19.19620233	20.67337962	16.1844348	27.70326098	128.3476332	14.52969929	44.23963125	41.64166196	37.12552627	91.88680218	63.69389367	39.54080271	13.04559166	17.92252477	0.544101335	5.500571232	0.169105621	7.76878189	6.966394752	3.71680982	2.686891181	0.038255449	0.154349099	0	0	0	0	1.034630714	0	0	0.348777798	0.579020658	0	0.413079965	0.437937643	0.134884908	135.7314642	4.017938221	43.95280558	0.39622313	4.008031432	0.077944785	0	0.451926974	1.495176509	0.655384697	20.92273044	4.182634191	4.307539133	0.104026084	0	0.195965727	0.312312772	0.037374267	0.478165877	0.0920199	0.093033128	0.017484966	5.64814706	0.312743631	10.0205966	0.028768643	0.552739901	3.666850062	0	0.73393436
FDSW202612097-1r_S20201210-0029_B100_bin.49.filtered	0.073730827	0.322946202	0.62356653	0.221464302	2.961733246	0.314332667	1.028667374	0.101859176	2.928543041	1.990311427	0.561932808	0.625429359	0.2141735	0.291721913	0.526674586	0.413643969	0.0803979	0	0	0.061185994	0.136315674	0.006907303	0	1.386508187	0.430993724	0.227162422	1.506696289	2.561275276	2.533888323	1.120364312	0.643743733	0.413399206	0.108740022	0.265711471	0.096597038	0.282817683	0.343882371	0	0.005832105	0.043317884	0.127611173	0	0	0.018226482	0	0.024396344	1.363375152	0.820858054	1.056728602	0.135652584	3.492197287	11.66707338	9.38833891	14.93155311	22.498534	19.41320303	9.593832585	9.626142503	71.85060651	37.87310927	19.83655735	1.104859236	32.86403293	34.0641782	3.883759264	4.843922884	7.21672913	7.5592703	4.023602747	10.5057981	0.858034605	0.678490729	2.471409968	4.239349984	0.061385332	1.298329779	0.125360458	0	0.844172145	4.336219923	3.035748347	3.041653926	3.455696685	2.883842465	3.594234572	1.651808807	9.914894251	3.063304755	0.544168788	1.047887027	10.15337259	7.986225887	2.960556076	1.811944646	1.423240543	2.547128273	3.084827053	16.41438652	4.89779226	7.245930127
FDSW202612112-1r_S20201215-0041_X027_bin.100.filtered	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.753992324	0	1.125399933	0.565268001	2.849156288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.432084156	0.569179022	0.028286038	7.144728952	5.347663371	2.520058599	1.075955282	9.087607578	14.54779462	0.606986484	0	0	0.770801281	0.816225479	1.386894508	1.515418881	1.27837196
FDSW202612064-1r_S20201215-0018_A079_bin.160.filtered	0.013727575	1.12363679	0.692531743	1.171867031	0.866651996	0.413058137	0.700286777	4.168317009	0.015051624	0	0.236049925	0	55.14865014	5.871176447	9.268051772	12.74466359	3.641080086	0.093501671	0.13501202	0.349026163	0.803680367	1.561005627	2.298550511	1.246687	0.34844899	0.158589291	0.692627173	2.64308903	1.132454146	1.205459699	1.152435803	0.671848693	1.059737762	11.54368476	2.419128983	3.996515258	0	0.711624587	0.56788033	0.214580838	0.648447682	0.354226685	2.67383899	2.978330583	3.21316279	0.647466872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007079294	0	0	0.046638421	0.034043118	0	0	0	0	0.045243385	0.010895239	0	0	0.049964722
FDSW202612057-1r_S20201215-0013_A038_bin.191.filtered	1.102121676	0.820364097	1.351474652	0	0	5.987048545	3.845127142	3.820562368	86.1345299	46.53864964	1.501541212	26.39833332	0.16753313	0.84535886	2.043820131	2.003581966	0.351837724	0.0246875	0.096391138	0	5.092640351	3.958125375	1.132870767	1.73573268	1.143424623	1.510027403	3.67157335	6.292171008	5.080603058	2.038002784	3.415683648	5.478652503	2.393486943	1.924014528	0.905896503	2.049133693	0.087494199	0.022811812	0.033218356	0	0.106777857	0	0.080494695	0.083730509	0	0.008991455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDSW202612117-1r_S20201215-0044_X055_bin.102.filtered	2.858322872	9.487899699	81.19653698	2.638123651	0	5.130138226	13.14787481	23.57867623	0.098593118	0	22.64562382	0	2.087430503	1.472615274	1.129306277	2.415235295	1.189775515	0.094243295	0.121932463	0	6.818036058	11.15596229	3.530508075	5.80413353	7.867802232	1.601397387	15.92103477	36.9517662	12.93922576	19.19172276	9.044577178	26.06036919	13.48899022	33.56594988	18.11469788	29.13709023	23.30818425	1.36891718	10.06554815	2.419490311	16.48530666	1.113953313	7.374910912	5.242123837	1.972732853	6.485955708	0.094064231	0	0	0	0	0	0	0	0	0	0.064209398	0.145453585	0.25076983	0.141450278	0.11242696	0	0.044497868	0	0	0	0	0	0	0	0	0.01633019	0	0.055080186	0	0	0	0	0	0	0	0.124215299	0.038530747	0.047866486	0.094762837	0	0.017425623	0	0.040374997	0	0.185815246	0.160846113	0.063416225	0.019040159	0	0.753680442	0.220469969	0	0.606971516	0.98725034
FDSW202612045-1r_S20201215-0006_C027_bin.112.filtered	0	0	0	0	3.586106136	15.18868224	16.35078585	15.73816594	0	0	6.100512014	0	1.794725099	0.030970778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.53304861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FDSW202612036-1r_S20201210-0001_G027_bin.50.filtered	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375961384	0.062231112	0.266563678	0	0.542340905	0.076455325	0.049317022	0.418987425	1.652869487	6.015310216	10.95952646	0.221489827	0.671556469	0.467292787	0.213492292	0.159848052	0.176346673	0.440245366	0.665609438	0.002628893	0.424707926	0.478861275	2.782586569	3.386321087	0	4.103849325	14.76803294	0	1.303050915	0.24613211
